2025-05-14T13:23:30.603Z [info]: Logged request to /api/listing/6824983226060a83f37c6486 | Method: PATCH | Status Code: 200 | Duration: 320ms
2025-05-14T13:23:39.352Z [info]: Logged request to /api/listing/6824983226060a83f37c6486 | Method: PATCH | Status Code: 200 | Duration: 5955ms
2025-05-14T13:23:39.925Z [info]: Logged request to /api/listing/6824983226060a83f37c6486 | Method: GET | Status Code: 200 | Duration: 434ms
2025-05-14T13:24:03.734Z [info]: Logged request to /api/listing/6824983226060a83f37c6486 | Method: PATCH | Status Code: 500 | Duration: 2234ms
2025-05-14T13:24:05.801Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 200 | Duration: 126ms
2025-05-14T13:24:05.952Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 132ms
2025-05-14T13:24:05.962Z [info]: Logged request to /api/discount | Method: GET | Status Code: 200 | Duration: 271ms
2025-05-14T13:24:06.099Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 200 | Duration: 409ms
2025-05-14T13:24:06.167Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 200 | Duration: 480ms
2025-05-14T13:24:06.224Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 277ms
2025-05-14T13:24:06.461Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 375ms
2025-05-14T13:24:35.375Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 184ms
2025-05-14T13:24:35.401Z [info]: Logged request to /api/me | Method: GET | Status Code: 200 | Duration: 278ms
2025-05-14T13:24:35.598Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 343ms
2025-05-14T13:24:35.603Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 407ms
2025-05-14T13:24:35.723Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 304 | Duration: 563ms
2025-05-14T13:24:35.732Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 322ms
2025-05-14T13:24:45.053Z [info]: Logged request to /api/listing/templates | Method: GET | Status Code: 200 | Duration: 248ms
2025-05-14T13:24:45.076Z [info]: Logged request to /api/stock/inventory-with-stocks | Method: GET | Status Code: 200 | Duration: 256ms
2025-05-14T13:24:45.147Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 277ms
2025-05-14T13:24:45.216Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 395ms
2025-05-14T13:24:45.314Z [info]: Logged request to /api/listing/templates | Method: GET | Status Code: 304 | Duration: 257ms
2025-05-14T13:24:45.340Z [info]: Logged request to /api/stock/inventory-with-stocks | Method: GET | Status Code: 200 | Duration: 264ms
2025-05-14T13:24:45.382Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 247ms
2025-05-14T13:24:45.580Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 377ms
2025-05-14T13:24:45.662Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 125ms
2025-05-14T13:24:45.678Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 274ms
2025-05-14T13:24:45.821Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 133ms
2025-05-14T13:24:45.887Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 297ms
2025-05-14T13:24:45.934Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 255ms
2025-05-14T13:24:46.064Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 174ms
2025-05-14T13:24:46.376Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 316ms
2025-05-14T13:24:46.542Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 155ms
2025-05-14T13:24:53.331Z [info]: Logged request to /api/stock/get/68246c9426060a83f37c49ff | Method: GET | Status Code: 200 | Duration: 283ms
2025-05-14T13:24:53.767Z [info]: Logged request to /api/listing/6824983226060a83f37c6486 | Method: GET | Status Code: 200 | Duration: 418ms
2025-05-14T13:24:55.042Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 200 | Duration: 1169ms
2025-05-14T13:24:56.785Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 140ms
2025-05-14T13:24:56.923Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 286ms
2025-05-14T13:24:56.929Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 144ms
2025-05-14T13:24:57.046Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 415ms
2025-05-14T13:24:57.110Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 304 | Duration: 431ms
2025-05-14T13:24:57.162Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 253ms
2025-05-14T13:24:57.488Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 426ms
2025-05-14T13:25:41.711Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 139ms
2025-05-14T13:25:41.862Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 263ms
2025-05-14T13:25:41.976Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 381ms
2025-05-14T13:25:41.990Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 419ms
2025-05-14T13:25:42.048Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 304 | Duration: 476ms
2025-05-14T13:25:42.113Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 306ms
2025-05-14T13:26:33.102Z [info]: Logged request to /api/listing/templates | Method: GET | Status Code: 304 | Duration: 306ms
2025-05-14T13:26:33.103Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 271ms
2025-05-14T13:26:33.110Z [info]: Logged request to /api/stock/inventory-with-stocks | Method: GET | Status Code: 200 | Duration: 311ms
2025-05-14T13:26:33.190Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 406ms
2025-05-14T13:26:33.366Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 273ms
